study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
PRJEB52707	SAMEA115958718	ERX12973119	ERR13602126	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/026/ERR13602126/ERR13602126.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602126/480.Run1.hg19.sort.rmdup.RG.sort.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602126/480.Run1.hg19.sort.rmdup.RG.sort.bam.bai		
PRJEB52707	SAMEA115958696	ERX12973097	ERR13602104	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/004/ERR13602104/ERR13602104.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602104/KNF030.Run1.hg19.sort.rmdup.RG.sort.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602104/KNF030.Run1.hg19.sort.rmdup.RG.sort.bam.bai		
PRJEB52707	SAMEA115958698	ERX12973099	ERR13602106	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/006/ERR13602106/ERR13602106.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602106/KNF032.Run1.hg19.sort.rmdup.RG.sort.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602106/KNF032.Run1.hg19.sort.rmdup.RG.sort.bam.bai		
PRJEB52707	SAMEA115958719	ERX12973120	ERR13602127	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/027/ERR13602127/ERR13602127.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602127/481.Run1.hg19.sort.rmdup.RG.sort.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602127/481.Run1.hg19.sort.rmdup.RG.sort.bam.bai		
PRJEB52707	SAMEA115958700	ERX12973101	ERR13602108	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/008/ERR13602108/ERR13602108.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602108/NWC003.merged.hg19.sort.rmdup.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602108/NWC003.merged.hg19.sort.rmdup.bam.bai		
PRJEB52707	SAMEA115958721	ERX12973122	ERR13602129	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/029/ERR13602129/ERR13602129.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602129/483.Run1.hg19.sort.rmdup.RG.sort.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602129/483.Run1.hg19.sort.rmdup.RG.sort.bam.bai		
PRJEB52707	SAMEA115958703	ERX12973104	ERR13602111	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/011/ERR13602111/ERR13602111.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602111/NWC006.merged.hg19.sort.rmdup.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602111/NWC006.merged.hg19.sort.rmdup.bam.bai		
PRJEB52707	SAMEA115958722	ERX12973123	ERR13602130	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/030/ERR13602130/ERR13602130.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602130/484.merged.hg19.sort.rmdup.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602130/484.merged.hg19.sort.rmdup.bam.bai		
PRJEB52707	SAMEA115958704	ERX12973105	ERR13602112	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/012/ERR13602112/ERR13602112.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602112/NWC007.Run1.hg19.sort.rmdup.RG.sort.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602112/NWC007.Run1.hg19.sort.rmdup.RG.sort.bam.bai		
PRJEB52707	SAMEA115958724	ERX12973125	ERR13602132	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/032/ERR13602132/ERR13602132.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602132/486.Run1.hg19.sort.rmdup.RG.sort.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR13602132/486.Run1.hg19.sort.rmdup.RG.sort.bam.bai		
